Item Number,Item Name,Item Description,Attribute,Size,Regular Price,Department Name,Manufacturer,Qty 1
1940,R50B-43,FIRESTONE WINTERFORCE 2,SL,205/55R16,65.368,AUTO TIRES,FIRESTONE,1
1941,R40A-35,BRIDGESTONE POTENZA S-04,XL,255/40R18,159.992,AUTO TIRES,BRIDGESTONE,1
1942,R40A-36,BRIDGESTONE DRIVEGUARD,XL,225/45RF18,166.392,AUTO TIRES,BRIDGESTONE,1
1943,R40A-37,WATERFALL ECO DYNAMIC,XL,225/45R18,59.176,AUTO TIRES,WATERFALL,1
1944,R40A-38,LEXANI LXUHP-207,XL,225/40ZR18,49.576,AUTO TIRES,LEXANI,1
1945,R40A-39,BRIDGESTONE BLIZZAK WS80,SL,195/65R15,56.208,AUTO TIRES,BRIDGESTONE,1
1946,R40A-40,WATERFALL ECO DYNAMIC,XL,225/40R18,41.232,AUTO TIRES,WATERFALL,1
1947,R40A-41,BFGOODRICH TOURING T/A,SL,185/65R14,65.776,AUTO TIRES,BFGOODRICH,1
1948,R40A-42,NEXEN N'PRIZ AH8,SL,215/55R18,95.984,AUTO TIRES,NEXEN,1
1949,R40A-43,WATERFALL ECO DYNAMIC,SL,215/60R16,38.52,AUTO TIRES,WATERFALL,1
950,R50B-52,ACHILLES ATR SPORT,XL,205/50ZR17,46.376,AUTO TIRES,ACHILLES,1
951,1981 FORD RANGER,VIN# 1FTHF25E1BPA46366,,,5000,VEHICLES,,1
952,R50B-53,SUPERMAX TM-1,SL,235/70R16,47.968,AUTO TIRES,SUPERMAX,1
954,R50B-54,SUPERMAX TM-1,SL,205/55R16,39.968,AUTO TIRES,SUPERMAX,1
955,Tire Tax,,,,0,System,,-161
956,R41B-41,SUPERMAX TM-1,SL,215/60R16,42.368,AUTO TIRES,SUPERMAX,1
957,R14A-19,COOPER CS5 ULTRA TOURING,SL,205/55R16,76.792,AUTO TIRES,COOPER,1
958,R14A-20,FIRESTONE WINTERFORCE 2,SL,205/60R16,69.568,AUTO TIRES,FIRESTONE,1
959,R14A-21,WESTLAKE RADIAL RP18,SL,205/55R16,36.176,AUTO TIRES,WESTLAKE,1
926,MOW-176677,MOWER-176677,,N/A,250,MOWER,,1
927,TIL1-446114,TILLER-446114,,N/A,225,TILLER,,1
928,TIL2-HDF900,TILLER-HDF900,,N/A,300,TILLER,,1
929,R41B-42,ACCELERA M/T-01,C,235/75R15,57.776,AUTO TIRES,ACCELERA,1
930,R50C-46,SUPERMAX TM-1,SL,225/45R17,45.568,AUTO TIRES,SUPERMAX,1
931,T11-020699,TRAILER-020699,,4'X8',599,TRAILER,,1
932,R50C-47,NITTO TERRA GRAPPLER ALL TERRAIN,E,315/50R24,512,AUTO TIRES,NITTO,1
933,R5B-22,SOLAR 4XS+,SL,215/65R16,43.2,AUTO TIRES,SOLAR,1
934,S1-03,ACHILLES ATR SPORT 2,XL,225/45ZR18,53.6,AUTO TIRES,ACHILLES,1
935,S1-04,SUPERMAX TM-1,SL,215/50R17,46.368,AUTO TIRES,SUPERMAX,1
936,R6A-23,PIRELLI P ZERO NERO GT,XL,245/30ZR20,189.296,AUTO TIRES,PIRELLI,1
937,R41B-43,NEXEN N'PRIZ AH5,SL,215/50R17,80.78,AUTO TIRES,NEXEN,1
938,T18-516736,TRAILER-516736,,6'X12',1650,TRAILER,,1
939,T19-506917,TRAILER-506917,,6'X12',1650,TRAILER,,1
940,T2-272299,TRAILER-272299,,6'X16',2850,TRAILER,,1
941,R6B-23,ACHILLES ATR SPORT 2,XL,225/35ZR20,47.968,AUTO TIRES,ACHILLES,1
942,R5B-21,BRIDGESTONE POTENZA RE980AS,XL,295/30R20,190.392,AUTO TIRES,BRIDGESTONE,1
943,R20C-22,VERCELLI STRADAII,XL,245/45ZR20,71.17,AUTO TIRES,VERCELLI,1
944,R9C-19,ACHILLES ATR SPORT 2,XL,225/35ZR20,47.968,AUTO TIRES,ACHILLES,1
945,S4-07,CARLISLE SAWTOOTH,B,4.10-4,13.59,ATV TIRES,CARLISLE,1
946,T7-516733,TRAILER-516733,,6'X12',1650,TRAILER,,1
947,T8-272298,TRAILER-272298,,6'X16',2850,TRAILER,,1
948,R9C-20,GOODYEAR WRANGLER TRAILRUNNER AT,SL,265/65R18,163.992,AUTO TIRES,GOODYEAR,1
949,R10C-21,HANKOOK DYNAPRO HP2,SL,235/65R17,65.04,AUTO TIRES,HANKOOK,1
960,R14A-22,SUPERMAX TM-1,SL,205/65R15,41.568,AUTO TIRES,SUPERMAX,1
961,R14A-23,SUMIC GT55A,SL,205/55R16,40.16,AUTO TIRES,SUMIC,1
962,R14A-24,COOPER CS5 ULTRA TOURING,SL,205/55R16,76.792,AUTO TIRES,COOPER,1
963,R14C-24,CARLISLE RELIANCE RADIAL ST,D,205/75R14,55.168,TRAILER TIRES,CARLISLE,1
964,R14A-25,GOODYEAR WRANGLER SR-A,SL,245/70R16,87.2,AUTO TIRES,GOODYEAR,1
965,R11A-11,ANTARES COMFORT A5,SL,255/55R18,82.72,AUTO TIRES,ANTARES,1
966,R11B-09,FIRESTONE FIREHAWK AS,SL,245/45R19,125.992,AUTO TIRES,FIRESTONE,1
967,R11B-10,FIRESTONE FIREHAWK AS,SL,245/45R19,125.992,AUTO TIRES,FIRESTONE,1
968,R13A-24,SUPERMAX TM-1,SL,175/70R13,32.768,AUTO TIRES,SUPERMAX,1
969,R13A-25,DOUGLAS ALL SEASON,SL,185/65R15,35.2,AUTO TIRES,DOUGLAS,1
1950,R40B-36,YOKOHAMA AVID ASCEND GT,SL,225/60R18,119.192,AUTO TIRES,YOKOHAMA,1
1951,R40B-37,NITTO MOTIVO,XL,255/45ZR18,134.4,AUTO TIRES,NITTO,1
1952,R40B-38,GOODYEAR ASSURANCE WEATHERREADY,SL,235/50R18,169.592,AUTO TIRES,GOODYEAR,1
1953,R40B-39,CONTENDER TT868,E,235/80R16,54.944,TRAILER TIRES,CONTENDER,1
1954,R40B-40,FUZION TOURING,SL,245/60R18,108.792,AUTO TIRES,FUZION,1
1955,R40B-41,NITTO MOTIVO,XL,255/45ZR18,134.4,AUTO TIRES,NITTO,1
1956,R40B-42,HANKOOK VENTUS S1 EVO2,XL,245/45R18,205.584,AUTO TIRES,HANKOOK,1
1957,R40B-43,WESTLAKE RADIAL SA-07,SL,235/45ZR18,55.168,AUTO TIRES,WESTLAKE,1
1958,R40B-44,YOKOHAMA AVID ASCEND,SL,235/45R18,140.792,AUTO TIRES,YOKOHAMA,1
1959,R40B-45,YOKOHAMA ADVAN SPORT A/S,XL,245/40R18,129.936,AUTO TIRES,YOKOHAMA,1
970,R13A-26,DUNLOP ENASAVE 01,SL,195/65R15,77.592,AUTO TIRES,DUNLOP,1
971,R13A-27,SUPERMAX TM-1,SL,215/60R15,44.768,AUTO TIRES,SUPERMAX,1
972,R13A-28,SUPERMAX TM-1,SL,185/65R15,38.368,AUTO TIRES,SUPERMAX,1
973,R13A-29,FALKEN SINCERA SN250 A/S,SL,195/70R14,52,AUTO TIRES,FALKEN,1
974,R13A-30,SUPERMAX TM-1,SL,185/70R14,38.368,AUTO TIRES,SUPERMAX,1
975,R13B-14,SUPERMAX TM-1,SL,205/60R15,42.368,AUTO TIRES,SUPERMAX,1
976,R13C-10,SUPERMAX TM-1,SL,215/45R17,43.968,AUTO TIRES,SUPERMAX,1
977,R13C-16,WESTLAKE RADIAL RP18,SL,205/60R15,37.272,AUTO TIRES,WESTLAKE,1
978,R13C-25,CARLISLE RELIANCE RADIAL ST,D,205/75R14,55.168,TRAILER TIRES,CARLISLE,1
979,R13C-26,SUPERMAX TM-1,SL,215/60R15,44.768,AUTO TIRES,SUPERMAX,1
980,R20A-01,GENERAL ALTIMAX RT43,SL,225/55R18,103.192,AUTO TIRES,GENERAL,0
981,R20A-02,FIRESTONE CHAMPION FUEL FIGHTER,XL,225/45R18,123.192,AUTO TIRES,FIRESTONE,1
982,R20A-03,PIRELLI SCORPION VERDE ALL SEASON,SL,235/65R18,96.776,AUTO TIRES,PIRELLI,1
983,R20A-04,GOODYEAR ASSURANCE MAXLIFE,SL,235/45R18,134.392,AUTO TIRES,GOODYEAR,1
984,R20A-05,GOODYEAR ASSURANCE MAXLIFE,SL,235/60R18,142.392,AUTO TIRES,GOODYEAR,1
985,R20A-06,NANKANG CROSS SPORT SP-9,XL,215/60R16,45.568,AUTO TIRES,NANKANG,1
986,R20A-07,NITTO MOTIVO,XL,235/50ZR18,114.4,AUTO TIRES,NITTO,1
987,R20A-08,LEXANI LXUHP-207,SL,215/55R18,56.976,AUTO TIRES,LEXANI,1
988,R20A-09,GT RADIAL CHAMPIRO UHP AS,SL,225/45ZR18,76.152,AUTO TIRES,GT RADIAL,1
989,R20A-10,FIRESTONE WINTERFORCE 2 UV,SL,235/55R18,103.336,AUTO TIRES,FIRESTONE,1
990,R20A-11,FALKEN AZENIS FK450 A/S,XL,245/45ZR18,141.512,AUTO TIRES,FALKEN,1
991,R20A-12,SUMITOMO HTR Z III,XL,245/45ZR18,111.592,AUTO TIRES,SUMITOMO,1
992,R20A-13,BRIDGESTONE DUELER H/T 684 II,SL,285/60R18,149.576,AUTO TIRES,BRIDGESTONE,1
993,R20A-14,FIRESTONE DESTINATION LE2,SL,225/60R18,108.776,AUTO TIRES,FIRESTONE,1
994,R20A-15,COOPER DISCOVERER TRUE NORTH,SL,245/60R18,129.592,AUTO TIRES,COOPER,1
995,R20A-16,NEXEN N'PRIZ AH8,SL,225/50R18,82.072,AUTO TIRES,NEXEN,1
996,R20A-17,ANTARES COMFORT A5,XL,235/50R18,65.2,AUTO TIRES,ANTARES,1
997,R20A-18,KUMHO ECSTA 4X II,XL,215/45ZR18,85.248,AUTO TIRES,KUMHO,1
998,R20A-19,GOODYEAR ASSURANCE WEATHERREADY,XL,225/45R18,159.992,AUTO TIRES,GOODYEAR,1
999,R20A-20,ANTARES INGENS A1,XL,225/40ZR18,51.224,AUTO TIRES,ANTARES,1
1000,R20A-21,FIRESTONE DESTINATION LE2,SL,235/55R18,111.968,AUTO TIRES,FIRESTONE,1
1001,R20A-22,LIONHART LH-TEN,XL,275/55R20,92.84,AUTO TIRES,LIONHART,1
1002,R20A-23,KUMHO ECSTA 4X II,XL,215/45ZR18,85.248,AUTO TIRES,KUMHO,1
1003,R20B-01,GENERAL ALTIMAX RT43,SL,225/55R18,103.192,AUTO TIRES,GENERAL,0
1004,R20B-02,GT RADIAL CHAMPIRO UHP AS,SL,235/60R18,103.816,AUTO TIRES,GT RADIAL,1
1005,R20B-03,SUPERMAX TM-1,SL,235/65R18,60.768,AUTO TIRES,SUPERMAX,1
1006,R20B-04,BRIDGESTONE ECOPIA H/L 422 PLUS,SL,235/65R18,149.592,AUTO TIRES,BRIDGESTONE,1
1007,R20B-05,BRIDGESTONE TURANZA EL400,SL,245/50R18,187.992,AUTO TIRES,BRIDGESTONE,1
1008,R20B-06,BRIDGESTONE ECOPIA H/L 422 PLUS,SL,235/55R18,148.792,AUTO TIRES,BRIDGESTONE,1
1009,R20B-07,BRIDGESTONE ECOPIA H/L 422 PLUS,SL,235/55R18,148.792,AUTO TIRES,BRIDGESTONE,1
1010,R20B-08,SUPERMAX TM-1,SL,235/65R18,60.768,AUTO TIRES,SUPERMAX,1
1011,R20B-09,COOPER DISCOVERER SRX,XL,235/60R18,135.192,AUTO TIRES,COOPER,1
1012,R20B-10,GENERAL ALTIMAX RT43,SL,225/55R18,103.192,AUTO TIRES,GENERAL,0
1013,R20B-11,SUPERMAX TM-1,SL,235/60R18,63.168,AUTO TIRES,SUPERMAX,1
1014,R20B-12,SUPERMAX TM-1,SL,235/65R18,60.768,AUTO TIRES,SUPERMAX,1
1015,R20B-13,NITTO MOTIVO,XL,255/45ZR18,134.4,AUTO TIRES,NITTO,1
1016,R20B-14,FALKEN ZIEX ZE950 A/S,SL,225/55R18,98.84,AUTO TIRES,FALKEN,1
1017,R20B-15,SUPERMAX TM-1,SL,235/65R18,60.768,AUTO TIRES,SUPERMAX,1
1018,R20B-16,KENDA KLEVER A/T KR28,SL,235/60R18,75.968,AUTO TIRES,KENDA,1
1019,R20B-17,SUPERMAX TM-1,SL,235/65R18,60.768,AUTO TIRES,SUPERMAX,1
1020,R20B-18,GT RADIAL CHAMPIRO UHP AS,SL,225/60R18,53.056,AUTO TIRES,GT RADIAL,1
1021,R20B-19,SUPERMAX TM-1,SL,235/65R18,60.768,AUTO TIRES,SUPERMAX,1
1022,R20B-20,SUPERMAX TM-1,SL,225/60R17,51.168,AUTO TIRES,SUPERMAX,1
1023,R20B-21,SUPERMAX TM-1,SL,215/50R17,46.368,AUTO TIRES,SUPERMAX,1
1024,R20B-22,MILESTAR MS932 SPORT,SL,245/60R18,77.568,AUTO TIRES,MILESTAR,1
1025,R20B-23,SUPERMAX TM-1,SL,235/60R18,63.168,AUTO TIRES,SUPERMAX,1
1026,R20B-24,SUPERMAX TM-1,SL,235/65R18,60.768,AUTO TIRES,SUPERMAX,1
1027,R20C-01,SUPERMAX TM-1,SL,235/65R18,60.768,AUTO TIRES,SUPERMAX,1
1028,R20C-02,BRIDGESTONE DUELER LTH,SL,265/60R18,163.968,AUTO TIRES,BRIDGESTONE,1
1029,R20C-03,NITTO RIDGE GRAPPLER,E,275/70R18,207.2,AUTO TIRES,NITTO,1
1030,R20C-04,SUPERMAX TM-1,SL,235/60R18,63.168,AUTO TIRES,SUPERMAX,1
1031,R20C-05,SUPERMAX TM-1,SL,235/70R16,47.968,AUTO TIRES,SUPERMAX,1
1032,R20C-06,KELLY EDGE AT,SL,265/60R18,130.392,AUTO TIRES,KELLY,1
1033,R20C-07,BFGOODRICH ADVANTAGE T/A SPORT,SL,265/70R17,129.592,AUTO TIRES,BFGOODRICH,1
1034,R20C-08,MILESTAR MS932 SPORT,SL,235/65R18,75.976,AUTO TIRES,MILESTAR,1
1035,R20C-09,BRIDGESTONE DUELER A/T,SL,255/70R18,152.776,AUTO TIRES,BRIDGESTONE,1
1036,R20C-10,BRIDGESTONE BLIZZAK DM-V2,SL,265/60R18,166.264,AUTO TIRES,BRIDGESTONE,1
1037,R20C-11,NANKANG CROSS SPORT SP-9,SL,235/65R18,75.968,AUTO TIRES,NANKANG,1
1038,R20C-12,YOKOHAMA GEOLANDAR H/T G056,SL,245/60R18,129.592,AUTO TIRES,YOKOHAMA,1
1039,R20C-13,SUPERMAX TM-1,SL,235/65R17,63.472,AUTO TIRES,SUPERMAX,1
1040,R20C-14,NANKANG CONQUEROR A/T,SL,275/65R18,91.176,AUTO TIRES,NANKANG,1
1041,R20C-15,BRIDGESTONE BLIZZAK DM-V2,SL,265/70R18,159.192,AUTO TIRES,BRIDGESTONE,1
1042,R20C-16,GT RADIAL SAVERO HT2,SL,265/70R18,111.192,AUTO TIRES,GT RADIAL,1
1043,R20C-17,FALKEN WILDPEAK A/T AT3W,SL,255/70R18,137.6,AUTO TIRES,FALKEN,1
1044,R20C-18,SUPERMAX TM-1,SL,235/65R18,60.768,AUTO TIRES,SUPERMAX,1
1045,R20C-19,SUPERMAX TM-1,SL,235/65R18,60.768,AUTO TIRES,SUPERMAX,1
1046,R20C-20,MICHELIN PILOT SPORT A/S 3,SL,235/45R18,158.392,AUTO TIRES,MICHELIN,1
1047,R20C-21,NANKANG CONQUEROR A/T,SL,265/70R18,91.168,AUTO TIRES,NANKANG,1
1048,R21A-01,WESTLAKE SU318 H/T,SL,225/60R17,54.368,AUTO TIRES,WESTLAKE,1
1049,R21A-02,NANKANG CROSS SPORT SP-9,SL,225/65R17,54.368,AUTO TIRES,NANKANG,1
1050,R21A-03,BRIDGESTONE ECOPIA EP422 PLUS,SL,215/55R17,121.592,AUTO TIRES,BRIDGESTONE,1
1051,R21A-04,SUPERMAX TM-1,SL,225/65R17,53.168,AUTO TIRES,SUPERMAX,1
1052,R21A-05,HANKOOK VENTUS V12 EVO,SL,205/45R17,45.544,AUTO TIRES,HANKOOK,1
1053,R21A-06,YOKOHAMA AVID ENVIGOR,XL,205/50R17,95.168,AUTO TIRES,YOKOHAMA,1
1054,R21A-07,SUPERMAX TM-1,SL,225/45R17,45.568,AUTO TIRES,SUPERMAX,1
1055,R21A-08,GOODYEAR ULTRA GRIP ICE WRT,SL,235/65R17,115.2,AUTO TIRES,GOODYEAR,1
1056,R21A-09,CONTINENTAL EXTREMECONTACT DWS06,XL,205/45ZR17,113.592,AUTO TIRES,CONTINENTAL,1
1057,R21A-10,SUPERMAX TM-1,SL,235/45R17,47.792,AUTO TIRES,SUPERMAX,1
1058,R21A-11,MICHELIN PREMIER A/S,SL,225/45R17,141.592,AUTO TIRES,MICHELIN,1
1059,R21A-12,BFGOODRICH ADVANTAGE T/A,SL,215/55R17,95.992,AUTO TIRES,BFGOODRICH,1
1060,R21A-13,ACHILLES ATR SPORT 2,XL,225/45ZR18,53.6,AUTO TIRES,ACHILLES,1
1061,R21A-14,FIRESTONE TRANSFORCE AT2,E,245/75R17,167.176,AUTO TIRES,FIRESTONE,1
1062,R21A-15,MICHELIN DEFENDER,SL,215/55R17,125.592,AUTO TIRES,MICHELIN,1
1063,R21A-16,SUPERMAX TM-1,SL,225/45R17,45.568,AUTO TIRES,SUPERMAX,1
1064,R21A-17,GT RADIAL CHAMPIRO VP1,SL,195/70R14,42.272,AUTO TIRES,GT RADIAL,1
1065,R21A-18,SUMIC GT65A,SL,175/65R14,41.592,AUTO TIRES,SUMIC,1
1066,R21A-19,GENERAL G-MAX AS-05,SL,225/45ZR17,83.992,AUTO TIRES,GENERAL,1
1067,R21A-20,GOODYEAR WRANGLER SR-A,SL,215/65R17,80,AUTO TIRES,GOODYEAR,1
1068,R21A-21,NOKIAN ENTYRE,XL,225/55R17,69.6,AUTO TIRES,NOKIAN,1
1069,R21A-22,MICHELIN DEFENDER,SL,225/50R17,136.792,AUTO TIRES,MICHELIN,1
1070,R21A-23,SUPERMAX TM-1,SL,235/65R17,63.472,AUTO TIRES,SUPERMAX,1
1071,R21A-24,MICHELIN PREMIER A/S,SL,225/45R17,141.592,AUTO TIRES,MICHELIN,1
1072,R21B-01,FEDERAL SUPER STEEL 595,SL,225/55R17,67.224,AUTO TIRES,FEDERAL,1
1073,R21B-02,NANKANG CROSS SPORT SP-9,SL,215/60R17,50.368,AUTO TIRES,NANKANG,1
1074,R21B-03,SUPERMAX TM-1,SL,225/45R17,45.568,AUTO TIRES,SUPERMAX,1
1075,R21B-04,COOPER DISCOVERER HTP,SL,225/65R17,79.992,AUTO TIRES,COOPER,1
1076,R21B-05,WATERFALL ECO DYNAMIC,XL,225/45R18,59.176,AUTO TIRES,WATERFALL,1
1077,R21B-06,WESTLAKE SA-07,XL,225/40ZR18,45.58,AUTO TIRES,WESTLAKE,1
1078,R21B-07,GT RADIAL CHAMPIRO UHP AS,XL,205/50ZR17,52,AUTO TIRES,GT RADIAL,1
1079,R21B-08,SUPERMAX TM-1,SL,215/45R17,43.968,AUTO TIRES,SUPERMAX,1
1080,R21B-09,BRIDGESTONE DUELER H/L 400,SL,215/70R17,115.408,AUTO TIRES,BRIDGESTONE,1
1081,R21B-10,SUPERMAX TM-1,SL,225/45R17,45.568,AUTO TIRES,SUPERMAX,1
1082,R21B-11,YOKOHAMA AVID ASCEND GT,SL,185/55R16,69.432,AUTO TIRES,YOKOHAMA,1
1083,R21B-12,SUPERMAX TM-1,SL,235/65R18,60.768,AUTO TIRES,SUPERMAX,2
1084,R21B-13,WESTLAKE RADIAL SL309,E,245/75R17,101.056,AUTO TIRES,WESTLAKE,1
1085,R21B-14,SUPERMAX TM-1,SL,225/45R17,45.568,AUTO TIRES,SUPERMAX,1
1086,R21B-15,BRIDGESTONE BLIZZAK WS80,SL,195/65R15,56.208,AUTO TIRES,BRIDGESTONE,1
1087,R21B-16,GOODYEAR EAGLE RS-A,SL,205/55R16,55.992,AUTO TIRES,GOODYEAR,1
1088,R21B-17,SUPERMAX TM-1,SL,205/50R17,45.568,AUTO TIRES,SUPERMAX,1
1089,R21B-18,FIRESTONE DESTINATION A/T,SL,245/70R17,171.048,AUTO TIRES,FIRESTONE,1
1090,R21B-19,GOODYEAR ASSURANCE COMFORTRED TOURING,SL,225/65R17,127.992,AUTO TIRES,GOODYEAR,1
1091,R21B-20,SUPERMAX TM-1,SL,225/65R17,53.168,AUTO TIRES,SUPERMAX,1
1092,R21B-21,WESTLAKE SU318 H/T,SL,265/65R17,79.52,AUTO TIRES,WESTLAKE,1
1093,R21B-22,FALKEN ZIEX ZE950 A/S,SL,215/55R17,76.352,AUTO TIRES,FALKEN,1
1094,R21B-23,SUPERMAX TM-1,SL,225/65R17,53.168,AUTO TIRES,SUPERMAX,1
1095,R21B-24,GOODYEAR ASSURANCE COMFORTRED TOURING,SL,225/65R17,127.992,AUTO TIRES,GOODYEAR,1
1096,R21B-25,SUPERMAX TM-1,SL,215/45R17,43.968,AUTO TIRES,SUPERMAX,1
1097,R21C-01,KUMHO CRUGEN PREMIUM,SL,225/60R17,72.504,AUTO TIRES,KUMHO,1
1098,R21C-02,GT RADIAL SAVERO HT2,SL,265/65R17,103.992,AUTO TIRES,GT RADIAL,1
1099,R21C-03,COOPER EVOLUTION H/T,SL,265/70R17,100.792,AUTO TIRES,COOPER,1
1100,R21C-04,HANKOOK VENTUS V12 EVO2,XL,245/40ZR20,130.384,AUTO TIRES,HANKOOK,1
1101,R21C-05,COOPER DISCOVERER A/T3,SL,245/65R17,99.072,AUTO TIRES,COOPER,1
1102,R21C-06,NANKANG SPORTNEX NS-25,XL,265/30ZR19,70.368,AUTO TIRES,NANKANG,1
1103,R21C-07,PRO COMP A/T SPORT,D,285/70R17,147.92,AUTO TIRES,PRO COMP,1
1104,R21C-08,SUPERMAX TM-1,SL,225/65R17,53.168,AUTO TIRES,SUPERMAX,1
1105,R21C-09,OTANI KC2000,SL,245/45ZR19,60.216,AUTO TIRES,OTANI,1
1106,R21C-10,WESTLAKE RADIAL SL369 A/T,SL,285/70R17,116,AUTO TIRES,WESTLAKE,1
1107,R21C-11,WILDTRAIL CTX,E,285/70R17,111.2,AUTO TIRES,WILD TRAIL,1
1108,R21C-12,MILESTAR PATAGONIA A/T,SL,265/70R17,83.8,AUTO TIRES,MILESTAR,1
1109,R21C-13,COOPER DISCOVERER A/T3,E,265/65R17,153.592,AUTO TIRES,COOPER,1
1110,R21C-14,NITTO RIDGE GRAPPLER,E,305/70R17,242.4,AUTO TIRES,NITTO,1
1111,R21C-15,SUPERMAX TM-1,SL,225/65R17,53.168,AUTO TIRES,SUPERMAX,1
1112,R21C-16,VOGUE SIGNATURE V,XL,225/65R17,88,AUTO TIRES,VOGUE,1
1113,R21C-17,MILESTAR MS932 SPORT,XL,215/55R17,49.568,AUTO TIRES,MILESTAR,0
1114,R21C-18,BRIDGESTONE ECOPIA EP422 PLUS,SL,215/65R17,111.192,AUTO TIRES,BRIDGESTONE,1
1115,R21C-19,GT RADIAL SAVERO HT2,SL,265/65R17,103.992,AUTO TIRES,GT RADIAL,1
1116,R21C-20,SUPERMAX TM-1,SL,205/55R16,39.968,AUTO TIRES,SUPERMAX,1
1117,R21C-21,BRIDGESTONE DUELER A/T,C,255/75R17,187.99,AUTO TIRES,BRIDGESTONE,1
1118,R21C-22,SUPERMAX TM-1,SL,225/50R17,48.768,AUTO TIRES,SUPERMAX,1
1119,R21C-23,FIRESTONE TRANSFORCE AT2,E,235/80R17,158.976,AUTO TIRES,FIRESTONE,1
1120,R22A-01,SUMIC GT65A,SL,185/65R14,36.776,AUTO TIRES,SUMIC,1
1121,R22A-02,MILESTAR MS932 SPORT,XL,215/45R17,48.768,AUTO TIRES,MILESTAR,1
1122,R22A-03,STARFIRE SOLARUS AS,XL,215/55R16,54.272,AUTO TIRES,STARFIRE,2
1123,R22A-04,PROMETER RADIAL LL821,SL,235/65R16,49.936,AUTO TIRES,PROMETER,1
1124,R22A-05,SUPERMAX TM-1,SL,215/60R16,42.368,AUTO TIRES,SUPERMAX,1
1125,R22A-06,WESTLAKE RADIAL SA-07,SL,225/50R17,50.368,AUTO TIRES,WESTLAKE,1
1126,R22A-07,BFGOODRICH G-FORCE SPORT COMP-2,SL,245/45ZR17,116.08,AUTO TIRES,BFGOODRICH,1
1127,R22A-08,OTANI KC2000,SL,245/45ZR19,60.216,AUTO TIRES,OTANI,1
1128,R22A-09,FEDERAL SUPER STEEL 595,SL,255/50R17,75.896,AUTO TIRES,FEDERAL,1
1129,R22A-10,MILESTAR MS932 SPORT,XL,225/55R17,58.368,AUTO TIRES,MILESTAR,1
1130,R22A-11,SUMIC GT60A,SL,185/60R14,35.176,AUTO TIRES,SUMIC,1
1131,R22A-12,SUPERMAX TM-1,SL,225/60R17,51.168,AUTO TIRES,SUPERMAX,1
1132,R22A-13,SUPERMAX TM-1,SL,215/45R17,43.968,AUTO TIRES,SUPERMAX,1
1133,R22A-14,WATERFALL ECO DYNAMIC,XL,215/50R17,57.592,AUTO TIRES,WATERFALL,1
1134,R22A-15,GOODYEAR ASSURANCE WEATHERREADY,SL,215/55R17,138.392,AUTO TIRES,GOODYEAR,1
1135,R22A-16,GT RADIAL CHAMPIRO UHP AS,XL,205/50ZR17,52,AUTO TIRES,GT RADIAL,1
1136,R22A-17,DORAL SDL 60A,SL,215/60R17,63.928,AUTO TIRES,DORAL,1
1137,R22A-18,GOODYEAR ULTRA GRIP WINTER,SL,225/50R17,123.696,AUTO TIRES,GOODYEAR,1
1138,R22A-19,NITTO SN2 STUDLESS,XL,205/50R17,97.576,AUTO TIRES,NITTO,1
1139,R22A-20,GT RADIAL CHAMPIRO UHP AS,XL,205/50ZR17,52,AUTO TIRES,GT RADIAL,1
1140,R22A-21,SUPERMAX TM-1,SL,215/45R17,43.968,AUTO TIRES,SUPERMAX,1
1141,R22A-22,GT RADIAL CHAMPIRO UHP AS,XL,205/50ZR17,52,AUTO TIRES,GT RADIAL,1
1142,R22A-23,GOODYEAR WRANGLER RADIAL,SL,235/75R15,59.2,AUTO TIRES,GOODYEAR,1
1143,R22B-01,MILESTAR MS932 SPORT,XL,235/45R17,53.568,AUTO TIRES,MILESTAR,1
1144,R22B-02,NANKANG CROSS SPORT SP-9,SL,215/60R17,50.368,AUTO TIRES,NANKANG,1
1145,R22B-03,WESTLAKE RADIAL SA-07,SL,205/50R17,46.368,AUTO TIRES,WESTLAKE,1
1146,R22B-04,MILESTAR MS932 SPORT,SL,225/65R17,54.368,AUTO TIRES,MILESTAR,1
1147,R22B-05,SUPERMAX TM-1,SL,225/60R17,51.168,AUTO TIRES,SUPERMAX,1
1148,R22B-06,NOKIAN ENTYRE,XL,225/55R17,69.6,AUTO TIRES,NOKIAN,1
1149,R22B-07,HANKOOK DYNAPRO AT-M,E,275/65R18,119.28,AUTO TIRES,HANKOOK,1
1960,R40C-36,BRIDGESTONE DUELER A/T,SL,255/70R18,152.776,AUTO TIRES,BRIDGESTONE,1
1961,R40C-37,LINGLONG CROSSWIND M/T,E,235/80R17,105.104,AUTO TIRES,LINGLONG,1
1962,R40C-38,FULLRUN FRUN-MT,E,265/70R17,72,AUTO TIRES,FULLRUN,1
1963,R40C-39,FALKEN WILDPEAK A/T AT3W,E,305/65R18,243.08,AUTO TIRES,FALKEN,1
1964,R40C-40,NITTO NT555 G2,SL,295/40ZR18,180.8,AUTO TIRES,NITTO,1
1965,R40C-41,LEXANI LX-TWENTY,XL,225/45ZR18,45.848,AUTO TIRES,LEXANI,1
1966,R41C-33,SUPERMAX TM-1,SL,235/65R18,60.768,AUTO TIRES,SUPERMAX,1
1967,R41C-34,BRIDGESTONE DUELER H/P SPORT,XL,275/40R20,122.392,AUTO TIRES,BRIDGESTONE,1
1968,R41C-35,MICKEY THOMPSON STREET COMP,XL,255/35R20,146.392,AUTO TIRES,MICKEY THOMPSON,1
