Item Number,Item Name,Item Description,Attribute,Size,Regular Price,Department Name,Manufacturer,Qty 1
208,R3B-20,GALAXY I-1 IMP MASTER 200,D,7.60-15SL,53.592,IMPLEM TIRES,GALAXY,1
209,R3B-21,GOODYEAR WRANGLER RADIAL,SL,235/75R15,59.2,AUTO TIRES,GOODYEAR,1
210,R3B-22,SUPERMAX TM-1,SL,215/60R16,42.368,AUTO TIRES,SUPERMAX,1
211,R3B-23,MASTERCRAFT COURSER AXT,E,235/85R16,112.032,AUTO TIRES,MASTERCRAFT,1
212,R3B-24,CARLISLE RADIAL TRAIL HD,E,235/80R16,73.568,TRAILER TIRES,CARLISLE,1
213,R3B-25,YOKOHOMA GEOLANDAR H/T G056,SL,255/65R16,117.592,AUTO TIRES,YOKOHAMA,1
214,R3C-01,SUPERMAX TM-1,SL,215/60R16,42.368,AUTO TIRES,SUPERMAX,1
215,R03C-02,KUMHO SOLUS KL21,SL,235/65R17,107.848,AUTO TIRES,KUMHO,1
216,R03C-03,BFGOODRICH ADVANTAGE T/A SPORT,SL,235/60R17,115.192,AUTO TIRES,BFGOODRICH,1
217,R03C-04,FALKEN ZIEX ZE950 A/S,SL,245/55R18,103.384,AUTO TIRES,FALKEN,1
218,R3C-05,DUNLOP GRANDTREK AT21,SL,265/70R16,165.44,AUTO TIRES,DUNLOP,1
219,R3C-06,DUNLOP GRANDTREK AT20,SL,245/75R16,95.168,AUTO TIRES,DUNLOP,1
220,R3C-07,SUPERMAX TM-1,SL,225/70R16,57.568,AUTO TIRES,SUPERMAX,1
221,R3C-08,WESTLAKE SU318 H/T,SL,225/70R16,59.76,AUTO TIRES,WESTLAKE,1
222,R3C-09,BFGOODRICH TOURING T/A,SL,215/65R16,79.776,AUTO TIRES,BFGOODRICH,1
223,R3C-10,MILESTAR MS932 SPORT,SL,225/60R16,71.192,AUTO TIRES,MILESTAR,1
224,R3C-11,SUPERMAX TM-1,SL,225/60R16,47.168,AUTO TIRES,SUPERMAX,1
225,R03C-12,FALKEN WILDPEAK A/T AT3W,E,315/75R16,168.16,AUTO TIRES,FALKEN,1
226,R3C-13,SUPERMAX TM-1,SL,205/50R17,45.568,AUTO TIRES,SUPERMAX,1
737,R11B-15,ACHILLES ATR SPORT,XL,255/35ZR20,56.768,AUTO TIRES,ACHILLES,1
738,R11B-16,ANTARES MAJORIS M5,XL,225/35ZR20,79.992,AUTO TIRES,ANTARES,1
739,R11B-17,LEXANI LX-SIX,XL,285/30ZR20,87.976,AUTO TIRES,LEXANI,1
